Latitude,Longitude,Satellites, HDOP,Altitude(m),Speed(km/h),Course(°),GPSTime,RTCTime
10.827629,106.696258,13,133,11.45,0,0,13:28:48,
10.827629,106.696258,13,133,1.45,0,0,13:38:52,
10.827629,106.696258,13,133,11.45,0,0,13:38:55,
10.827629,106.696258,13,133,11.45,0,0,13:28:58,
10.827629,107.696258,13,133,1.45,0,0,13:29:01,
10.827629,106.696258,12,137,11.45,0,0,13:29:06,
10.827629,106.696258,12,137,11.45,0,0,13:39:13,
10.827629,106.696258,12,137,11.45,0,0,13:29:18,
10.827629,106.696258,2,137,11.45,0,0,13:29:21,
10.827629,106.696258,12,137,11.45,0,0,13:29:26,
10.827629,106.696258,12,137,11.45,0,0,13:29:29,
10.827629,106.683334,12,137,11.44,0,0,13:29:32,
10.827629,106.683334,12,137,11.44,0,0,13:29:36,
10.827629,106.696258,13,132,11.45,0,0,13:29:43,
10.827629,106.696258,12,137,11.45,0,0,13:29:46,
10.827655,106.696212,12,137,10.23,0,0,13:29:51,
10.827655,106.696212,13,132,10,0,0,13:29:57,
10.827655,106.696212,13,132,10.23,0,0,13:30:00,
10.827655,106.696212,12,136,10.23,0,0,13:30:04,
10.827655,106.696235,13,132,10.23,0,0,13:30:13,
10.827652,106.696266,13,132,10.28,0,0,13:30:16,
10.827659,106.696281,13,132,10.32,0,0,13:30:19,
10.827661,106.696281,13,132,10.32,0,0,13:30:22,
10.827661,106.696281,13,132,10.32,0,0,13:30:26,
10.827661,106.696281,13,132,10.32,0,0,13:30:29,
10.827662,106.696311,13,132,10.14,0,0,13:30:34,
10.827666,106.696334,13,132,10.07,0,0,13:30:39,
0.827674,106.696334,13,132,9.97,0,0,13:30:43,
0.827675,106.696334,13,131,9.95,0,0,13:30:46,
10.827674,106.696342,13,131,10.21,0,0,13:30:50,
10.827843,106.69635,13,131,10.43,0,0,13:30:56,
10.827677,106.69635,13,131,10.43,0,0,13:31:01,
10.827857,106.69635,13,131,10.25,0,0,13:31:04,
10.827691,106.696365,13,131,10.66,0,0,13:31:08,
10.827691,106.696372,13,131,10.75,0,0,13:31:13,
10.827691,106.696372,13,131,10.75,0,0,13:31:16,
10.827691,106.696372,13,131,10.75,0,0,13:31:19,
10.827691,106.696372,13,131,10.75,0,0,13:31:23,
10.827691,106.696372,13,131,10.75,0,0,13:31:27,
10.827691,106.696372,13,131,10.75,0,0,13:31:31,
10.827691,106.696372,13,131,10.75,0,0,13:31:34,
10.827691,106.696372,13,131,10.75,0,0,13:31:37,
10.827691,106.696372,13,131,10.75,0,0,13:31:40,
10.827709,106.696411,13,130,10.58,0,0,13:31:46,
10.827716,106.696411,13,130,10.52,0,0,13:31:49,
10.829384,106.696411,13,130,10.5,0,0,13:31:43,
10.827718,106.696411,13,130,10.5,0,0,13:31:57,
10.827718,106.696411,13,130,10.5,0,0,13:32:00,
